/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:21:58Z","tsi":1535955718,"spd":0.00,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:21:59Z","tsi":1535955719,"spd":0.00,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:00Z","tsi":1535955720,"spd":0.00,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:01Z","tsi":1535955721,"spd":0.00,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:02Z","tsi":1535955722,"spd":0.00,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:03Z","tsi":1535955723,"spd":0.00,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:04Z","tsi":1535955724,"spd":0.00,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:05Z","tsi":1535955725,"spd":0.00,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:06Z","tsi":1535955726,"spd":0.00,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:07Z","tsi":1535955727,"spd":0.09,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.09,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:08Z","tsi":1535955728,"spd":0.09,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:09Z","tsi":1535955729,"spd":0.09,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:10Z","tsi":1535955730,"spd":0.09,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:11Z","tsi":1535955731,"spd":0.09,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:12Z","tsi":1535955732,"spd":0.09,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:13Z","tsi":1535955733,"spd":0.09,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:14Z","tsi":1535955734,"spd":0.09,"hdg":135,"lat":60.183607,"long":24.924009,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:15Z","tsi":1535955735,"spd":0.13,"hdg":135,"lat":60.183607,"long":24.924007,"acc":0.04,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/34 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:16Z","tsi":1535955736,"spd":0.63,"hdg":135,"lat":60.183612,"long":24.924001,"acc":0.50,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/3/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:17Z","tsi":1535955737,"spd":1.05,"hdg":322,"lat":60.183620,"long":24.923992,"acc":0.42,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:18Z","tsi":1535955738,"spd":1.71,"hdg":322,"lat":60.183631,"long":24.923970,"acc":0.66,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

/hfp/v1/journey/upcoming/tram/0040/00120/1005/2/Katajanokan term./09:24/1020453/5/60;24/19/82/33 {"VP":{"desi":"5","dir":"2","oper":40,"veh":120,"tst":"2018-09-03T06:22:19Z","tsi":1535955739,"spd":1.84,"hdg":319,"lat":60.183642,"long":24.923946,"acc":0.13,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":30,"line":496,"start":"09:24"}}

