/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:46Z","tsi":1535955046,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:47Z","tsi":1535955047,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:48Z","tsi":1535955048,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:49Z","tsi":1535955049,"spd":0.00,"hdg":141,"lat":60.170424,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:50Z","tsi":1535955050,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:51Z","tsi":1535955051,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937809,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:52Z","tsi":1535955052,"spd":0.09,"hdg":141,"lat":60.170423,"long":24.937809,"acc":0.09,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:53Z","tsi":1535955053,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937809,"acc":-0.09,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:54Z","tsi":1535955054,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937808,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:55Z","tsi":1535955055,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937808,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:56Z","tsi":1535955056,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937808,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:57Z","tsi":1535955057,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937808,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:58Z","tsi":1535955058,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937808,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:10:59Z","tsi":1535955059,"spd":0.00,"hdg":141,"lat":60.170423,"long":24.937808,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:11:00Z","tsi":1535955060,"spd":0.00,"hdg":141,"lat":60.170422,"long":24.937807,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:11:01Z","tsi":1535955061,"spd":0.00,"hdg":141,"lat":60.170422,"long":24.937807,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

/hfp/v1/journey/upcoming/tram/0040/00121/1005/2/Katajanokan term./09:15/1020453/5/60;24/19/73/07 {"VP":{"desi":"5","dir":"2","oper":40,"veh":121,"tst":"2018-09-03T06:11:02Z","tsi":1535955062,"spd":0.00,"hdg":141,"lat":60.170422,"long":24.937807,"acc":0.00,"dl":null,"odo":null,"drst":0,"oday":"2018-09-03","jrn":20,"line":496,"start":"09:15"}}

